Phân loại / Khu vực,Giá,Thay đổi (+/-),Ngày thu thập
Đắk Lắk,28.000,+300,2026-04-22
Đắk Nông,27.800,-700,2026-04-22
Gia lai,29.000,-,2026-04-22
Kon Tum,28.300,-200,2026-04-22
Lâm Đồng,28.700,+500,2026-04-22
Bình Phước,29.200,+300,2026-04-22
Vũng Tàu,30.500,+700,2026-04-22
W240 (240 hạt/kg),290.000 – 380.000,-,2026-04-22
W320 (320 hạt/kg),230.000 – 320.000,-,2026-04-22
W450 (450 hạt/kg),185.000 – 260.000,-,2026-04-22
Hạt điều nhân trắng W240,10.5 – 12.8 USD/kg,-,2026-04-22
Hạt điều nhân trắng W320,8.5 – 10.8 USD/kg,-,2026-04-22
