Nông sản,Giá hôm nay,Thay đổi,Ngày thu thập
Sầu riêng Thái (VIP A),150.000 – 160.000,"▼ -5.000 đ (-3,0%)",2026-04-01
Sầu riêng Thái (VIP B),130.000 – 145.000,Không đổi,2026-04-01
Sầu riêng Thái (Mẫu đẹp A),120.000,"▼ -25.000 đ (-17,2%)",2026-04-01
Sầu riêng Thái (Mẫu đẹp B),88.000 – 100.000,"▼ -25.000 đ (-20,0%)",2026-04-01
Sầu riêng Thái (Loại C),115.000 – 125.000,"▲ +50.000 đ (+66,7%)",2026-04-01
Sầu riêng Thái (Dạt),55.000 – 65.000,Không đổi,2026-04-01
Sầu riêng Thái (C-D),60.000 – 70.000,"▲ +5.000 đ (+7,7%)",2026-04-01
Sầu riêng Thái (Dạt nặng),50.000,Không đổi,2026-04-01
Sầu riêng Thái (Lỗi),95.000 – 105.000,Không đổi,2026-04-01
Sầu riêng Ri6 (Loại A),80.000 – 86.000,"▼ -9.000 đ (-9,5%)",2026-04-01
Sầu riêng Ri6 (Loại B),65.000 – 71.000,"▼ -9.000 đ (-11,3%)",2026-04-01
Sầu riêng Ri6 (Loại C),60.000 – 65.000,Không đổi,2026-04-01
Sầu riêng Ri6 (C-D),50.000 – 55.000,"▼ -5.000 đ (-8,3%)",2026-04-01
Sầu riêng Ri6 (Kem),17.000 – 22.000,Không đổi,2026-04-01
Musang King (Loại A),133.000 – 140.000,Không đổi,2026-04-01
Musang King (Loại B),110.000 – 113.000,"▼ -7.000 đ (-5,8%)",2026-04-01
Chuồng Bò (Loại A),70.000 – 85.000,"▼ -7.000 đ (-7,6%)",2026-04-01
Chuồng Bò (Loại B),55.000 – 70.000,"▼ -7.000 đ (-9,1%)",2026-04-01
Chuồng Bò (Dạt),115.000 – 120.000,Không đổi,2026-04-01
Sáu Hữu (Loại A),150.000 – 160.000,"▼ -5.000 đ (-3,0%)",2026-04-01
