Nông sản,Giá cũ,Giá mới,Thay đổi,Ngày thu thập
Sầu riêng Ri6 A (đ/kg),90.000 – 105.000,90.000 – 105.000,Không đổi,2026-04-15
Sầu riêng Ri6 B (đ/kg),75.000 – 90.000,75.000 – 90.000,Không đổi,2026-04-15
Sầu riêng Thái VIP A (đ/kg),160.000 – 165.000,160.000 – 165.000,Không đổi,2026-04-15
Sầu riêng Thái VIP B (đ/kg),115.000 – 130.000,115.000 – 130.000,Không đổi,2026-04-15
Sầu riêng Thái A (đ/kg),115.000 – 125.000,115.000 – 125.000,Không đổi,2026-04-15
Sầu riêng Thái B (đ/kg),105.000 – 113.000,105.000 – 113.000,Không đổi,2026-04-15
Sầu riêng Musang King A (đ/kg),135.000 – 142.000,135.000 – 142.000,Không đổi,2026-04-15
Sầu riêng Chuồng Bò A (đ/kg),85.000 – 95.000,85.000 – 95.000,Không đổi,2026-04-15
Sầu riêng Ri6 C (đ/kg),55.000 – 65.000,55.000 – 65.000,Không đổi,2026-04-15
Sầu riêng Musang King B (đ/kg),115.000 – 122.000,115.000 – 122.000,Không đổi,2026-04-15
