Nông sản,Giá cũ,Giá mới,Thay đổi,Ngày thu thập
Hồ tiêu Đắk Lắk (đ/kg),139.500,139.500,Không đổi,2026-04-15
Hồ tiêu Gia Lai (đ/kg),138.500,138.500,Không đổi,2026-04-15
Hồ tiêu Đắk Nông (đ/kg),139.000,139.000,Không đổi,2026-04-15
Hồ tiêu Bà Rịa - Vũng Tàu (đ/kg),138.500,138.500,Không đổi,2026-04-15
Hồ tiêu Bình Phước (đ/kg),138.500,138.500,Không đổi,2026-04-15
Hồ tiêu Đồng Nai (đ/kg),138.500,138.500,Không đổi,2026-04-15
Tiêu đen Indonesia (USD/tấn),-,7.074,Mới cập nhật,2026-04-15
Tiêu đen Brazil (USD/tấn),-,6.150,Mới cập nhật,2026-04-15
Tiêu đen Malaysia (USD/tấn),-,9.300,Mới cập nhật,2026-04-15
Tiêu trắng Indonesia (USD/tấn),-,9.320,Mới cập nhật,2026-04-15
Tiêu trắng Việt Nam (USD/tấn),-,9.000,Mới cập nhật,2026-04-15
