Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất
Thái,VIP A,Toàn thị trường,2026-03-29,150000,160000
Thái,VIP B,Toàn thị trường,2026-03-29,130000,145000
Thái,A,Toàn thị trường,2026-03-29,120000,120000
Thái,B,Toàn thị trường,2026-03-29,88000,100000
Thái,C,Toàn thị trường,2026-03-29,115000,125000
Thái,Dạt,Toàn thị trường,2026-03-29,55000,65000
Thái,C-D,Toàn thị trường,2026-03-29,60000,70000
Thái,Dạt nặng,Toàn thị trường,2026-03-29,50000,50000
Thái,Lỗi,Toàn thị trường,2026-03-29,95000,105000
Ri6,A,Toàn thị trường,2026-03-29,80000,86000
Ri6,B,Toàn thị trường,2026-03-29,65000,71000
Ri6,C,Toàn thị trường,2026-03-29,60000,65000
Ri6,C-D,Toàn thị trường,2026-03-29,50000,55000
Ri6,Kem,Toàn thị trường,2026-03-29,17000,22000
Musang King,A,Toàn thị trường,2026-03-29,133000,140000
Musang King,B,Toàn thị trường,2026-03-29,110000,113000
Chuồng Bò,A,Toàn thị trường,2026-03-29,70000,85000
Chuồng Bò,B,Toàn thị trường,2026-03-29,55000,70000
Chuồng Bò,Dạt,Toàn thị trường,2026-03-29,115000,120000
Sáu Hữu,A,Toàn thị trường,2026-03-29,150000,160000
