Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Đơn vị
Thái,A,Toàn thị trường,2026-04-07,120000.0,125000.0,đ/kg
Thái,B,Toàn thị trường,2026-04-07,102000.0,110000.0,đ/kg
Thái,C,Toàn thị trường,2026-04-07,52000.0,60000.0,đ/kg
Ri6,A,Toàn thị trường,2026-04-07,70000.0,72000.0,đ/kg
Ri6,B,Toàn thị trường,2026-04-07,50000.0,57000.0,đ/kg
Musang King,A,Toàn thị trường,2026-04-07,103000.0,113000.0,đ/kg
Musang King,B,Toàn thị trường,2026-04-07,80000.0,83000.0,đ/kg
Chuồng Bò,A,Toàn thị trường,2026-04-07,63000.0,70000.0,đ/kg
Chuồng Bò,B,Toàn thị trường,2026-04-07,48000.0,50000.0,đ/kg
Sáu Hữu,A,Toàn thị trường,2026-04-07,80000.0,80000.0,đ/kg
Sáu Hữu,B,Toàn thị trường,2026-04-07,50000.0,60000.0,đ/kg
