Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất,Giá trung bình
Thái,VIP A,Toàn thị trường,2026-03-26,150000,160000,155000
Thái,VIP B,Toàn thị trường,2026-03-26,130000,145000,137500
Thái,A,Toàn thị trường,2026-03-26,120000,120000,120000
Thái,B,Toàn thị trường,2026-03-26,88000,100000,94000
Thái,C,Toàn thị trường,2026-03-26,115000,125000,120000
Thái,Dạt,Toàn thị trường,2026-03-26,55000,65000,60000
Thái,C-D,Toàn thị trường,2026-03-26,60000,70000,65000
Thái,Dạt nặng,Toàn thị trường,2026-03-26,50000,50000,50000
Thái,Lỗi,Toàn thị trường,2026-03-26,95000,105000,100000
Ri6,A,Toàn thị trường,2026-03-26,80000,86000,83000
Ri6,B,Toàn thị trường,2026-03-26,65000,71000,68000
Ri6,C,Toàn thị trường,2026-03-26,60000,65000,62500
Ri6,C-D,Toàn thị trường,2026-03-26,50000,55000,52500
Ri6,Kem,Toàn thị trường,2026-03-26,17000,22000,19500
Musang King,A,Toàn thị trường,2026-03-26,133000,140000,136500
Musang King,B,Toàn thị trường,2026-03-26,110000,113000,111500
Chuồng Bò,A,Toàn thị trường,2026-03-26,70000,85000,77500
Chuồng Bò,B,Toàn thị trường,2026-03-26,55000,70000,62500
Sáu Hữu,A,Toàn thị trường,2026-03-26,115000,120000,117500
Hồ tiêu,Tiêu đen,Đắk Lắk,2026-03-26,139000,139000,139000
Hồ tiêu,Tiêu đen,Gia Lai,2026-03-26,137000,137000,137000
Hồ tiêu,Tiêu đen,Đắk Nông,2026-03-26,139000,139000,139000
Hồ tiêu,Tiêu đen,Bà Rịa - Vũng Tàu,2026-03-26,137500,137500,137500
Hồ tiêu,Tiêu đen,Bình Phước,2026-03-26,137000,137000,137000
Hạt điều,Hạt tươi,Đắk Lắk,2026-03-26,28000,28000,28000
Hạt điều,Hạt tươi,Đắk Nông,2026-03-26,27800,27800,27800
Hạt điều,Hạt tươi,Gia Lai,2026-03-26,29000,29000,29000
Hạt điều,Hạt tươi,Kon Tum,2026-03-26,28300,28300,28300
Hạt điều,Hạt tươi,Lâm Đồng,2026-03-26,28700,28700,28700
Hạt điều,Hạt tươi,Bình Phước,2026-03-26,29200,29200,29200
Hạt điều,Hạt tươi,Vũng Tàu,2026-03-26,30500,30500,30500
Hạt điều,W240 (240 hạt/kg),Toàn thị trường,2026-03-26,290000,380000,335000
Hạt điều,W320 (320 hạt/kg),Toàn thị trường,2026-03-26,230000,320000,275000
Hạt điều,W450 (450 hạt/kg),Toàn thị trường,2026-03-26,185000,260000,222500
Hạt điều,Hạt điều nhân trắng W240,Toàn thị trường,2026-03-26,276790,337420,307105
Hạt điều,Hạt điều nhân trắng W320,Toàn thị trường,2026-03-26,224068,284698,254383
Thái,VIP A,Toàn thị trường,2026-03-27,150000,160000,155000
Thái,VIP B,Toàn thị trường,2026-03-27,130000,145000,137500
Thái,A,Toàn thị trường,2026-03-27,120000,120000,120000
Thái,B,Toàn thị trường,2026-03-27,88000,100000,94000
Thái,C,Toàn thị trường,2026-03-27,115000,125000,120000
Thái,Dạt,Toàn thị trường,2026-03-27,55000,65000,60000
Thái,C-D,Toàn thị trường,2026-03-27,60000,70000,65000
Thái,Dạt nặng,Toàn thị trường,2026-03-27,50000,50000,50000
Thái,Lỗi,Toàn thị trường,2026-03-27,95000,105000,100000
Ri6,A,Toàn thị trường,2026-03-27,80000,86000,83000
Ri6,B,Toàn thị trường,2026-03-27,65000,71000,68000
Ri6,C,Toàn thị trường,2026-03-27,60000,65000,62500
Ri6,C-D,Toàn thị trường,2026-03-27,50000,55000,52500
Ri6,Kem,Toàn thị trường,2026-03-27,17000,22000,19500
Musang King,A,Toàn thị trường,2026-03-27,133000,140000,136500
Musang King,B,Toàn thị trường,2026-03-27,110000,113000,111500
Chuồng Bò,A,Toàn thị trường,2026-03-27,70000,85000,77500
Chuồng Bò,B,Toàn thị trường,2026-03-27,55000,70000,62500
Chuồng Bò,Dạt,Toàn thị trường,2026-03-27,115000,120000,117500
Sáu Hữu,A,Toàn thị trường,2026-03-27,150000,160000,155000
Hồ tiêu,Tiêu đen,Đắk Lắk,2026-03-27,139000,139000,139000
